No,チャプター名,カテゴリ名,親カテゴリ名,ナレッジタイトル（ノウハウ名）,ナレッジ概要,チェックアイテム名,検索手順,検索実施,移植要因,難易度,難易度詳細,目視確認,ヒアリング確認,検索対象ファイル,検索キーワード１,検索キーワード２,検索モジュール,ライン数算出,非算出理由,不明/TODO,ライン数,ライン数根拠,調査内容
461,,STATS_T_TEST_ONE,FUNC MIGRATION,knowledge-461,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
462,,STATS_T_TEST_ONE (FNC-210-001),STATS_T_TEST_ONE,knowledge-462,<ns3:para>STATS_T_TEST_ONE\s*\( pattern関数は未サポートです。</ns3:para>,item-657,STATS_T_TEST_ONE\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,STATS_T_TEST_ONE\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,STATS_T_TEST_ONE\s*\(
462,,STATS_T_TEST_ONE (FNC-210-001),STATS_T_TEST_ONE,knowledge-462,,item-658,STATS_T_TEST_ONE\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,STATS_T_TEST_ONE\s*\(
462,,STATS_T_TEST_ONE (FNC-210-001),STATS_T_TEST_ONE,knowledge-462,,item-659,STATS_T_TEST_ONE\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,STATS_T_TEST_ONE\s*\(,,,TRUE,,TODO:SE 手動算出,,,STATS_T_TEST_ONE\s*\(
463,,STATS_T_TEST_PAIRED,FUNC MIGRATION,knowledge-463,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
464,,STATS_T_TEST_PAIRED (FNC-211-001),STATS_T_TEST_PAIRED,knowledge-464,<ns3:para>STATS_T_TEST_PAIRED\s*\( pattern関数は未サポートです。</ns3:para>,item-660,STATS_T_TEST_PAIRED\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,STATS_T_TEST_PAIRED\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,STATS_T_TEST_PAIRED\s*\(
464,,STATS_T_TEST_PAIRED (FNC-211-001),STATS_T_TEST_PAIRED,knowledge-464,,item-661,STATS_T_TEST_PAIRED\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,STATS_T_TEST_PAIRED\s*\(
464,,STATS_T_TEST_PAIRED (FNC-211-001),STATS_T_TEST_PAIRED,knowledge-464,,item-662,STATS_T_TEST_PAIRED\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,STATS_T_TEST_PAIRED\s*\(,,,TRUE,,TODO:SE 手動算出,,,STATS_T_TEST_PAIRED\s*\(
465,,DECODE,FUNC MIGRATION,knowledge-465,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
466,,DECODE (FNC-212-001),DECODE,knowledge-466,<ns3:para>DECODE\s*\( pattern関数は未サポートです。ただし、Orafceを導入することサポートされます。</ns3:para>,item-663,DECODE\s*\(,TRUE,DBMS の変更,Low,低1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,DECODE\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,DECODE\s*\(
466,,DECODE (FNC-212-001),DECODE,knowledge-466,,item-664,DECODE\s*\(,TRUE,DBMS の変更,Low,低1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,DECODE\s*\(
466,,DECODE (FNC-212-001),DECODE,knowledge-466,,item-665,DECODE\s*\(,TRUE,DBMS の変更,Low,低1,check,,*.properties,DECODE\s*\(,,,TRUE,,TODO:SE 手動算出,,,DECODE\s*\(
467,,XMLCOMMENT,FUNC MIGRATION,knowledge-467,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
468,,XMLCOMMENT (FNC-213-001),XMLCOMMENT,knowledge-468,<ns3:para>XMLCOMMENT\s*\( pattern関数は未サポートです。</ns3:para>,item-666,XMLCOMMENT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLCOMMENT\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLCOMMENT\s*\(
468,,XMLCOMMENT (FNC-213-001),XMLCOMMENT,knowledge-468,,item-667,XMLCOMMENT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLCOMMENT\s*\(
468,,XMLCOMMENT (FNC-213-001),XMLCOMMENT,knowledge-468,,item-668,XMLCOMMENT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLCOMMENT\s*\(,,,TRUE,,TODO:SE 手動算出,,,XMLCOMMENT\s*\(
469,,XMLPI,FUNC MIGRATION,knowledge-469,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
470,,XMLPI (FNC-214-001),XMLPI,knowledge-470,<ns3:para>XMLPI\s*\( pattern関数は未サポートです。</ns3:para>,item-669,XMLPI\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLPI\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLPI\s*\(
470,,XMLPI (FNC-214-001),XMLPI,knowledge-470,,item-670,XMLPI\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLPI\s*\(
470,,XMLPI (FNC-214-001),XMLPI,knowledge-470,,item-671,XMLPI\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLPI\s*\(,,,TRUE,,TODO:SE 手動算出,,,XMLPI\s*\(
471,,XMLPI,FUNC MIGRATION,knowledge-471,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
472,,XMLPI (FNC-214-002),XMLPI,knowledge-472,<ns3:para>XMLPI\s*\(\s*NAME pattern関数でのNAME句の省略は未サポートです。</ns3:para>,item-672,XMLPI\s*\(\s*NAME,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLPI\s*\(\s*NAME,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLPI\s*\(\s*NAME
472,,XMLPI (FNC-214-002),XMLPI,knowledge-472,,item-673,XMLPI\s*\(\s*NAME,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLPI\s*\(\s*NAME
472,,XMLPI (FNC-214-002),XMLPI,knowledge-472,,item-674,XMLPI\s*\(\s*NAME,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLPI\s*\(\s*NAME,,,TRUE,,TODO:SE 手動算出,,,XMLPI\s*\(\s*NAME
473,,XMLROOT,FUNC MIGRATION,knowledge-473,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
474,,XMLROOT (FNC-215-001),XMLROOT,knowledge-474,<ns3:para>XMLROOT\s*\( pattern関数は未サポートです。</ns3:para>,item-675,XMLROOT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLROOT\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLROOT\s*\(
474,,XMLROOT (FNC-215-001),XMLROOT,knowledge-474,,item-676,XMLROOT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLROOT\s*\(
474,,XMLROOT (FNC-215-001),XMLROOT,knowledge-474,,item-677,XMLROOT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLROOT\s*\(,,,TRUE,,TODO:SE 手動算出,,,XMLROOT\s*\(
475,,XMLPARSE,FUNC MIGRATION,knowledge-475,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
476,,XMLPARSE (FNC-216-001),XMLPARSE,knowledge-476,<ns3:para>XMLPARSE\s*\( pattern関数は未サポートです。</ns3:para>,item-678,XMLPARSE\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLPARSE\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLPARSE\s*\(
476,,XMLPARSE (FNC-216-001),XMLPARSE,knowledge-476,,item-679,XMLPARSE\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLPARSE\s*\(
476,,XMLPARSE (FNC-216-001),XMLPARSE,knowledge-476,,item-680,XMLPARSE\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLPARSE\s*\(,,,TRUE,,TODO:SE 手動算出,,,XMLPARSE\s*\(
477,,XMLPARSE,FUNC MIGRATION,knowledge-477,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
478,,XMLPARSE (FNC-216-002),XMLPARSE,knowledge-478,<ns3:para>XMLPARSE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+WELLFORMED pattern関数でのWELLFORMED句は未サポートです。</ns3:para>,item-681,XMLPARSE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+WELLFORMED,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLPARSE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+WELLFORMED,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLPARSE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+WELLFORMED
478,,XMLPARSE (FNC-216-002),XMLPARSE,knowledge-478,,item-682,XMLPARSE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+WELLFORMED,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLPARSE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+WELLFORMED
478,,XMLPARSE (FNC-216-002),XMLPARSE,knowledge-478,,item-683,XMLPARSE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+WELLFORMED,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLPARSE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+WELLFORMED,,,TRUE,,TODO:SE 手動算出,,,XMLPARSE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+WELLFORMED
479,,XMLSERIALIZE,FUNC MIGRATION,knowledge-479,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
480,,XMLSERIALIZE (FNC-217-001),XMLSERIALIZE,knowledge-480,<ns3:para>XMLSERIALIZE\s*\( pattern関数は未サポートです。</ns3:para>,item-684,XMLSERIALIZE\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLSERIALIZE\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLSERIALIZE\s*\(
480,,XMLSERIALIZE (FNC-217-001),XMLSERIALIZE,knowledge-480,,item-685,XMLSERIALIZE\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLSERIALIZE\s*\(
480,,XMLSERIALIZE (FNC-217-001),XMLSERIALIZE,knowledge-480,,item-686,XMLSERIALIZE\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLSERIALIZE\s*\(,,,TRUE,,TODO:SE 手動算出,,,XMLSERIALIZE\s*\(
481,,XMLSERIALIZE,FUNC MIGRATION,knowledge-481,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
482,,XMLSERIALIZE (FNC-217-002),XMLSERIALIZE,knowledge-482,<ns3:para>XMLSERIALIZE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+AS pattern関数でのAS句の省略は未サポートです。</ns3:para>,item-687,XMLSERIALIZE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+AS,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLSERIALIZE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+AS,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLSERIALIZE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+AS
482,,XMLSERIALIZE (FNC-217-002),XMLSERIALIZE,knowledge-482,,item-688,XMLSERIALIZE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+AS,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLSERIALIZE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+AS
482,,XMLSERIALIZE (FNC-217-002),XMLSERIALIZE,knowledge-482,,item-689,XMLSERIALIZE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+AS,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLSERIALIZE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+AS,,,TRUE,,TODO:SE 手動算出,,,XMLSERIALIZE\s*\((?:DOCUMENT|CONTENT)\s+.+\s+AS
483,,XMLAGG,FUNC MIGRATION,knowledge-483,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
484,,XMLAGG (FNC-218-001),XMLAGG,knowledge-484,<ns3:para>XMLAGG\s*\( pattern関数は未サポートです。</ns3:para>,item-690,XMLAGG\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLAGG\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLAGG\s*\(
484,,XMLAGG (FNC-218-001),XMLAGG,knowledge-484,,item-691,XMLAGG\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLAGG\s*\(
484,,XMLAGG (FNC-218-001),XMLAGG,knowledge-484,,item-692,XMLAGG\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLAGG\s*\(,,,TRUE,,TODO:SE 手動算出,,,XMLAGG\s*\(
485,,XMLCONCAT,FUNC MIGRATION,knowledge-485,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
486,,XMLCONCAT (FNC-219-001),XMLCONCAT,knowledge-486,<ns3:para>XMLCONCAT\s*\( pattern関数は未サポートです。</ns3:para>,item-693,XMLCONCAT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLCONCAT\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLCONCAT\s*\(
486,,XMLCONCAT (FNC-219-001),XMLCONCAT,knowledge-486,,item-694,XMLCONCAT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLCONCAT\s*\(
486,,XMLCONCAT (FNC-219-001),XMLCONCAT,knowledge-486,,item-695,XMLCONCAT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLCONCAT\s*\(,,,TRUE,,TODO:SE 手動算出,,,XMLCONCAT\s*\(
487,,XMLELEMENT,FUNC MIGRATION,knowledge-487,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
488,,XMLELEMENT (FNC-220-001),XMLELEMENT,knowledge-488,<ns3:para>XMLELEMENT\s*\( pattern関数は未サポートです。</ns3:para>,item-696,XMLELEMENT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLELEMENT\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLELEMENT\s*\(
488,,XMLELEMENT (FNC-220-001),XMLELEMENT,knowledge-488,,item-697,XMLELEMENT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLELEMENT\s*\(
488,,XMLELEMENT (FNC-220-001),XMLELEMENT,knowledge-488,,item-698,XMLELEMENT\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLELEMENT\s*\(,,,TRUE,,TODO:SE 手動算出,,,XMLELEMENT\s*\(
489,,XMLELEMENT,FUNC MIGRATION,knowledge-489,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
490,,XMLELEMENT (FNC-220-002),XMLELEMENT,knowledge-490,<ns3:para>XMLELEMENT\s*\(\s*NAME pattern関数でのNAME句の省略は未サポートです。</ns3:para>,item-699,XMLELEMENT\s*\(\s*NAME,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLELEMENT\s*\(\s*NAME,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLELEMENT\s*\(\s*NAME
490,,XMLELEMENT (FNC-220-002),XMLELEMENT,knowledge-490,,item-700,XMLELEMENT\s*\(\s*NAME,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLELEMENT\s*\(\s*NAME
490,,XMLELEMENT (FNC-220-002),XMLELEMENT,knowledge-490,,item-701,XMLELEMENT\s*\(\s*NAME,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLELEMENT\s*\(\s*NAME,,,TRUE,,TODO:SE 手動算出,,,XMLELEMENT\s*\(\s*NAME
491,,XMLELEMENT,FUNC MIGRATION,knowledge-491,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
492,,XMLELEMENT (FNC-220-003),XMLELEMENT,knowledge-492,<ns3:para>XMLELEMENT\s*\(.+\s+XMLATTRIBUTES\s*\(.+\s+AS pattern関数でXMLATTRIBUTESに続く句でのAS指定は未サポートです。</ns3:para>,item-702,XMLELEMENT\s*\(.+\s+XMLATTRIBUTES\s*\(.+\s+AS,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLELEMENT\s*\(.+\s+XMLATTRIBUTES\s*\(.+\s+AS,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLELEMENT\s*\(.+\s+XMLATTRIBUTES\s*\(.+\s+AS
492,,XMLELEMENT (FNC-220-003),XMLELEMENT,knowledge-492,,item-703,XMLELEMENT\s*\(.+\s+XMLATTRIBUTES\s*\(.+\s+AS,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLELEMENT\s*\(.+\s+XMLATTRIBUTES\s*\(.+\s+AS
492,,XMLELEMENT (FNC-220-003),XMLELEMENT,knowledge-492,,item-704,XMLELEMENT\s*\(.+\s+XMLATTRIBUTES\s*\(.+\s+AS,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLELEMENT\s*\(.+\s+XMLATTRIBUTES\s*\(.+\s+AS,,,TRUE,,TODO:SE 手動算出,,,XMLELEMENT\s*\(.+\s+XMLATTRIBUTES\s*\(.+\s+AS
493,,XMLFOREST,FUNC MIGRATION,knowledge-493,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
494,,XMLFOREST (FNC-221-001),XMLFOREST,knowledge-494,<ns3:para>XMLFOREST\s*\( pattern関数は未サポートです。</ns3:para>,item-705,XMLFOREST\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,XMLFOREST\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,XMLFOREST\s*\(
494,,XMLFOREST (FNC-221-001),XMLFOREST,knowledge-494,,item-706,XMLFOREST\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,XMLFOREST\s*\(
494,,XMLFOREST (FNC-221-001),XMLFOREST,knowledge-494,,item-707,XMLFOREST\s*\(,TRUE,DBMS の変更,Unknown,不明1,check,,*.properties,XMLFOREST\s*\(,,,TRUE,,TODO:SE 手動算出,,,XMLFOREST\s*\(
495,,REGEXP_REPLACE,FUNC MIGRATION,knowledge-495,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
496,,REGEXP_REPLACE (FNC-222-001),REGEXP_REPLACE,knowledge-496,"<ns3:para>REGEXP_REPLACE\s*\(\s*(?:[\w\d_]+|\""[\w\d_]*\""|'[^']*')\s*Comma\s*(?:[\w\d_]+|\""[\w\d_]*\""|'[^']*')\s*\) pattern関数のreplace_string句の省略は未サポートです。</ns3:para>",item-708,"REGEXP_REPLACE\s*\(\s*(?:[\w\d_]+|\""[\w\d_]*\""|'[^']*')\s*Comma\s*(?:[\w\d_]+|\""[\w\d_]*\""|'[^']*')\s*\)",TRUE,DBMS の変更,Unknown,不明1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,"REGEXP_REPLACE\s*\(\s*(?:[\w\d_]+|\""[\w\d_]*\""|'[^']*')\s*Comma\s*(?:[\w\d_]+|\""[\w\d_]*\""|'[^']*')\s*\)",,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,"REGEXP_REPLACE\s*\(\s*(?:[\w\d_]+|\""[\w\d_]*\""|'[^']*')\s*Comma\s*(?:[\w\d_]+|\""[\w\d_]*\""|'[^']*')\s*\)"
496,,REGEXP_REPLACE (FNC-222-001),REGEXP_REPLACE,knowledge-496,,item-709,"REGEXP_REPLACE\s*\(\s*(?:[\w\d_]+|\""[\w\d_]*\""|'[^']*')\s*Comma\s*(?:[\w\d_]+|\""[\w\d_]*\""|'[^']*')\s*\)",TRUE,DBMS の変更,Unknown,不明1,check,,*.xml,"//*[contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY1') and contains(translate(text(), 'abcdefghijklmnopqrstuvwxyz','ABCDEFGHIJKLMNOPQRSTUVWXYZ'),'KEY2')]",,ext_search_xml_parser.py,TRUE,,TODO:SE 手動算出,,,"REGEXP_REPLACE\s*\(\s*(?:[\w\d_]+|\""[\w\d_]*\""|'[^']*')\s*Comma\s*(?:[\w\d_]+|\""[\w\d_]*\""|'[^']*')\s*\)"
