No,チャプター名,カテゴリ名,親カテゴリ名,ナレッジタイトル（ノウハウ名）,ナレッジ概要,チェックアイテム名,検索手順,検索実施,移植要因,難易度,難易度詳細,目視確認,ヒアリング確認,検索対象ファイル,検索キーワード１,検索キーワード２,検索モジュール,ライン数算出,非算出理由,不明/TODO,ライン数,ライン数根拠,調査内容
20,,oraca.orasfnm.orasfnmc (TYP-025-010),oraca.orasfnm.orasfnmc,knowledge-20,<ns3:para>oraca\.orasfnm\.orasfnmc ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-10,oraca\.orasfnm\.orasfnmc,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.orasfnm\.orasfnmc,,,TRUE,,TODO:SE 手動算出,,,oraca\.orasfnm\.orasfnmc
21,,oraca.oraslnr,ORACA MIGRATION,knowledge-21,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
22,,oraca.oraslnr (TYP-025-011),oraca.oraslnr,knowledge-22,<ns3:para>oraca\.oraslnr ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-11,oraca\.oraslnr,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.oraslnr,,,TRUE,,TODO:SE 手動算出,,,oraca\.oraslnr
23,,oraca.orahoc,ORACA MIGRATION,knowledge-23,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
24,,oraca.orahoc (TYP-025-012),oraca.orahoc,knowledge-24,<ns3:para>oraca\.orahoc ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-12,oraca\.orahoc,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.orahoc,,,TRUE,,TODO:SE 手動算出,,,oraca\.orahoc
25,,oraca.oramoc,ORACA MIGRATION,knowledge-25,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
26,,oraca.oramoc (TYP-025-013),oraca.oramoc,knowledge-26,<ns3:para>oraca\.oramoc ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-13,oraca\.oramoc,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.oramoc,,,TRUE,,TODO:SE 手動算出,,,oraca\.oramoc
27,,oraca.oracoc,ORACA MIGRATION,knowledge-27,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
28,,oraca.oracoc (TYP-025-014),oraca.oracoc,knowledge-28,<ns3:para>oraca\.oracoc ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-14,oraca\.oracoc,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.oracoc,,,TRUE,,TODO:SE 手動算出,,,oraca\.oracoc
29,,oraca.oranor,ORACA MIGRATION,knowledge-29,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
30,,oraca.oranor (TYP-025-015),oraca.oranor,knowledge-30,<ns3:para>oraca\.oranor ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-15,oraca\.oranor,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.oranor,,,TRUE,,TODO:SE 手動算出,,,oraca\.oranor
31,,oraca.oranpr,ORACA MIGRATION,knowledge-31,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
32,,oraca.oranpr (TYP-025-016),oraca.oranpr,knowledge-32,<ns3:para>oraca\.oranpr ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-16,oraca\.oranpr,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.oranpr,,,TRUE,,TODO:SE 手動算出,,,oraca\.oranpr
33,,oraca.oranex,ORACA MIGRATION,knowledge-33,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
34,,oraca.oranex (TYP-025-017),oraca.oranex,knowledge-34,<ns3:para>oraca\.oranex ORACAが使用されています。ORACAはtodbで未サポートです。</ns3:para>,item-17,oraca\.oranex,TRUE,DBMS の変更,Unknown,不明1,check,,*.p?c|*.h|*.cpp,oraca\.oranex,,,TRUE,,TODO:SE 手動算出,,,oraca\.oranex
35,FUNC,FUNC MIGRATION,,knowledge-35,<ns3:para></ns3:para>,,,,,,,,,,,,,,,,,,
36,,ADD_MONTHS (FNC-001-001),FUNC MIGRATION,knowledge-36,<ns3:para>ADD_MONTHS\s*\( pattern関数は未サポートです。演算子を利用することで対処可能ですが、結果の型に注意が必要です。</ns3:para>,item-18,ADD_MONTHS\s*\(,TRUE,DBMS の変更,Low,低1,check,,*.sql|*.java|*.ddl|*.p?c|*.cpp|*.h,ADD_MONTHS\s*\(,,ext_search_sql_parser.py,TRUE,,TODO:SE 手動算出,,,ADD_MONTHS\s*\(
